"module name","license","repository"
"@typescript-eslint/type-utils@8.13.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/types@8.13.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/typescript-estree@8.13.0","BSD-2-Clause","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/utils@8.13.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/visitor-keys@8.13.0","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@vitejs/plugin-react@4.3.3","MIT","https://github.com/vitejs/vite-plugin-react"
"@zag-js/accordion@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/accordion"
"@zag-js/accordion@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/accordion"
"@zag-js/anatomy@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/machine"
"@zag-js/anatomy@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/machine"
"@zag-js/aria-hidden@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/aria-hidden"
"@zag-js/aria-hidden@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/aria-hidden"
"@zag-js/auto-resize@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/auto-resize"
"@zag-js/auto-resize@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/auto-resize"
"@zag-js/avatar@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/avatar"
"@zag-js/avatar@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/avatar"
"@zag-js/carousel@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/carousel"
"@zag-js/carousel@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/carousel"
"@zag-js/checkbox@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/checkbox"
"@zag-js/checkbox@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/checkbox"
"@zag-js/clipboard@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/clipboard"
"@zag-js/clipboard@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/clipboard"
"@zag-js/collapsible@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/collapsible"
"@zag-js/collapsible@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/collapsible"
"@zag-js/collection@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/collection"
"@zag-js/collection@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/collection"
"@zag-js/color-picker@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/color-picker"
"@zag-js/color-picker@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/color-picker"
"@zag-js/color-utils@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/color-utils"
"@zag-js/color-utils@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/color-utils"
"@zag-js/combobox@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/combobox"
"@zag-js/combobox@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/combobox"
"@zag-js/core@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/machine"
"@zag-js/core@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/machine"
"@zag-js/date-picker@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/date-picker"
"@zag-js/date-picker@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/date-picker"
"@zag-js/date-utils@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/date-utils"
"@zag-js/date-utils@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/date-utils"
"@zag-js/dialog@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/dialog"
"@zag-js/dialog@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/dialog"
"@zag-js/dismissable@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/interact-outside"
"@zag-js/dismissable@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/interact-outside"
"@zag-js/dom-event@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/pointer-event"
"@zag-js/dom-event@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/pointer-event"
"@zag-js/dom-query@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/dom-helpers"
"@zag-js/dom-query@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/dom-helpers"
"@zag-js/editable@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/editable"
"@zag-js/editable@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/editable"
"@zag-js/element-rect@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/element-rect"
"@zag-js/element-rect@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/element-rect"
"@zag-js/element-size@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/element-size"
"@zag-js/element-size@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/element-size"
"@zag-js/file-upload@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/file-upload"
"@zag-js/file-upload@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/file-upload"
"@zag-js/file-utils@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/file-utils"
"@zag-js/file-utils@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/file-utils"
"@zag-js/focus-visible@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/focus-visible"
"@zag-js/form-utils@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/form-utils"
"@zag-js/form-utils@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/form-utils"
"@zag-js/highlight-word@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/highlight-word"
"@zag-js/hover-card@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/hover-card"
"@zag-js/hover-card@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/hover-card"
"@zag-js/i18n-utils@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/i18n-utils"
"@zag-js/i18n-utils@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/i18n-utils"
"@zag-js/interact-outside@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/interact-outside"
"@zag-js/interact-outside@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/interact-outside"
"@zag-js/live-region@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/live-region"
"@zag-js/live-region@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/live-region"
"@zag-js/menu@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/menu"
"@zag-js/menu@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/menu"
"@zag-js/number-input@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/number-input"
"@zag-js/number-input@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/number-input"
"@zag-js/number-utils@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/number"
"@zag-js/number-utils@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/number"
"@zag-js/numeric-range@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/numeric-range"
"@zag-js/numeric-range@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/numeric-range"
"@zag-js/pagination@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/pagination"
"@zag-js/pagination@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/pagination"
"@zag-js/pin-input@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/pin-input"
"@zag-js/pin-input@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/pin-input"
"@zag-js/popover@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/popover"
"@zag-js/popover@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/popover"
"@zag-js/popper@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/popper"
"@zag-js/popper@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/utilities/popper"
"@zag-js/presence@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/presence"
"@zag-js/presence@0.74.2","MIT","https://github.com/chakra-ui/zag/tree/main/packages/presence"
"@zag-js/progress@0.62.1","MIT","https://github.com/chakra-ui/zag/tree/main/packages/progress"
